ID,Type,Status,URL,Notes
15808,Project,In URL file but missing from API,https://mininghub.com/project/nulla-south/15808,URL exists but project not found in API response
16376,Project,In URL file but missing from API,https://mininghub.com/project/grass-patch/16376,URL exists but project not found in API response
16106,Project,In URL file but missing from API,https://mininghub.com/project/mt-bartle/16106,URL exists but project not found in API response
15807,Project,In URL file but missing from API,https://mininghub.com/project/south-west/15807,URL exists but project not found in API response
16183,Project,In URL file but missing from API,https://mininghub.com/project/nthalire/16183,URL exists but project not found in API response
17622,Project,In URL file but missing from API,https://mininghub.com/project/baucau/17622,URL exists but project not found in API response
17611,Project,In URL file but missing from API,https://mininghub.com/project/wittenoom-pyramid-pool/17611,URL exists but project not found in API response
17627,Project,In URL file but missing from API,https://mininghub.com/project/west-arunta/17627,URL exists but project not found in API response
7173,Project,In URL file but missing from API,https://mininghub.com/project/pennys/7173,URL exists but project not found in API response
16375,Project,In URL file but missing from API,https://mininghub.com/project/palamino/16375,URL exists but project not found in API response
17804,Project,In URL file but missing from API,https://mininghub.com/project/mt-francisco/17804,URL exists but project not found in API response
16313,Project,In URL file but missing from API,https://mininghub.com/project/xolobeni/16313,URL exists but project not found in API response
8920,Project,In URL file but missing from API,https://mininghub.com/project/capao-bonito/8920,URL exists but project not found in API response
17688,Project,In URL file but missing from API,https://mininghub.com/project/jubilee/17688,URL exists but project not found in API response
16407,Project,In URL file but missing from API,https://mininghub.com/project/kata-thong/16407,URL exists but project not found in API response
16003,Project,In URL file but missing from API,https://mininghub.com/project/wodgina/16003,URL exists but project not found in API response
15929,Project,In URL file but missing from API,https://mininghub.com/project/gascoyne/15929,URL exists but project not found in API response
15687,Project,In URL file but missing from API,https://mininghub.com/project/mackenzie-river/15687,URL exists but project not found in API response
7435,Project,In URL file but missing from API,https://mininghub.com/project/west-koonenberry/7435,URL exists but project not found in API response
8038,Project,In URL file but missing from API,https://mininghub.com/project/mt-pleasant/8038,URL exists but project not found in API response
629,Project,In URL file but missing from API,https://mininghub.com/project/shovelnose/629,URL exists but project not found in API response
15809,Project,In URL file but missing from API,https://mininghub.com/project/narryer/15809,URL exists but project not found in API response
17646,Project,In URL file but missing from API,https://mininghub.com/project/fitzgerald/17646,URL exists but project not found in API response
8521,Project,In URL file but missing from API,https://mininghub.com/project/savage-river/8521,URL exists but project not found in API response
17083,Project,In URL file but missing from API,https://mininghub.com/project/mt-sholl/17083,URL exists but project not found in API response
7039,Project,In URL file but missing from API,https://mininghub.com/project/broken-hill/7039,URL exists but project not found in API response
15845,Project,In URL file but missing from API,https://mininghub.com/project/yerrida-south/15845,URL exists but project not found in API response
16430,Project,In URL file but missing from API,https://mininghub.com/project/cockatoo-island/16430,URL exists but project not found in API response
7510,Project,In URL file but missing from API,https://mininghub.com/project/bridgetown-greenbushes/7510,URL exists but project not found in API response
2650,Project,In URL file but missing from API,https://mininghub.com/project/miller/2650,URL exists but project not found in API response
1407,Project,In URL file but missing from API,https://mininghub.com/project/golden-promise/1407,URL exists but project not found in API response
16722,Project,In URL file but missing from API,https://mininghub.com/project/angas/16722,URL exists but project not found in API response
8511,Project,In URL file but missing from API,https://mininghub.com/project/bonita/8511,URL exists but project not found in API response
8021,Project,In URL file but missing from API,https://mininghub.com/project/springdale/8021,URL exists but project not found in API response
7076,Project,In URL file but missing from API,https://mininghub.com/project/lake-johnston/7076,URL exists but project not found in API response
7739,Project,In URL file but missing from API,https://mininghub.com/project/sandy-mitchell/7739,URL exists but project not found in API response
16846,Project,In URL file but missing from API,https://mininghub.com/project/teal/16846,URL exists but project not found in API response
7647,Project,In URL file but missing from API,https://mininghub.com/project/benedict-mountains/7647,URL exists but project not found in API response
